Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
"Sr. Manager, Data & AI systems architecture",Bengaluru,3.9,0,500000,900000,700000.0,AGCO
Analytics Solutions - Vice President,Bengaluru,4.1,0,400000,600000,500000.0,JPMorganChase
Data Scientist,Noida,3.6,0,400000,600000,500000.0,BIG OH TECH
Data Scientist,Bengaluru,3.8,0,300000,300000,300000.0,Visa
Data Scientist II,Bengaluru,4.2,0,200000,1000000,600000.0,Microsoft
Data Scientist,Pune,3.9,0,800000,1000000,900000.0,Barclays
Data Scientist,Bengaluru,3.7,0,500000,800000,650000.0,Virtusa
Data Scientist - I,Bengaluru,4.0,0,200000,400000,300000.0,G2
Data Scientist,Mohali,3.6,1,8000,15000,11500.0,eNest Technologies Pvt Ltd
Data Scientist,India,3.3,0,1000000,2200000,1600000.0,NCRi Inc.
Data Scientist,Mohali,4.9,1,45000,85000,65000.0,Primotech
Senior Data Scientist - AI/ML,Chennai,3.8,0,300000,800000,550000.0,ZF
Data Scientist/AI Engineer,Chennai,,0,1500000,1800000,1650000.0,Warrior tech solutions
Data Scientist,Tirupati,3.4,0,200000,200000,200000.0,Young Minds Technology Solutions Pvt Ltd
Data Scientist,Gurgaon,5.0,0,800000,900000,850000.0,Amlgo Labs
"Data Scientist, VP",Bengaluru,4.1,0,300000,500000,400000.0,NatWest Group
Data Scientist (135),Gurgaon,3.8,0,400000,700000,550000.0,amdocs
Data Science Trainee,Thāne,3.9,0,300000,900000,600000.0,LANXESS
Data Scientist – Smart Metering,,,1,80000,90000,85000.0,JSG Consulting
Data Scientist,Gurgaon,4.4,0,500000,600000,550000.0,Think Future Technologies
Data Scientist,Bengaluru,3.8,0,100000,600000,350000.0,ALSTOM
Lead Data Scientist,Chennai,4.2,0,1500000,2000000,1750000.0,Ignitho Technologies
"Data Scientist, gTech Ads Solutions",Gurgaon,4.3,0,100000,1000000,550000.0,Google
